REF_AREA,REF_AREA_LABEL,TIME_PERIOD,Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),Monetary Sector credit to private sector (% GDP),Market capitalization of listed domestic companies (% of GDP),"Stocks traded, total value (% of GDP)","Stocks traded, turnover ratio of domestic shares (%)","Foreign direct investment, net inflows (BoP, current US$)","Foreign direct investment, net outflows (% of GDP)","Portfolio equity, net inflows (BoP, current US$)"
ARG,Argentina,1960,10.79774693,10.79774693,10.79774693,1.266133894,0.160471276,28.70870871,89769999.9,0.001826651,0.0
ARG,Argentina,1961,11.81004251,11.81004251,11.81004251,1.266133894,0.160471276,28.70870871,89769999.9,0.001826651,0.0
ARG,Argentina,1962,10.22821456,10.22821456,10.22821456,1.266133894,0.160471276,28.70870871,89769999.9,0.001826651,0.0
ARG,Argentina,1963,9.902517499,9.902517499,9.902517499,1.266133894,0.160471276,28.70870871,89769999.9,0.001826651,0.0
ARG,Argentina,1964,9.402676974,9.402676974,9.402676974,1.266133894,0.160471276,28.70870871,89769999.9,0.001826651,0.0
ARG,Argentina,1965,8.923753569,8.923753569,8.923753569,1.266133894,0.160471276,28.70870871,89769999.9,0.001826651,0.0
ARG,Argentina,1966,9.729891892,9.729891892,9.729891892,1.266133894,0.160471276,28.70870871,89769999.9,0.001826651,0.0
ARG,Argentina,1967,9.581870717,9.581870717,9.581870717,1.266133894,0.160471276,28.70870871,89769999.9,0.001826651,0.0
ARG,Argentina,1968,12.14754308,12.14754308,12.14754308,1.266133894,0.160471276,28.70870871,89769999.9,0.001826651,0.0
ARG,Argentina,1969,13.05337511,13.05337511,13.05337511,1.266133894,0.160471276,28.70870871,89769999.9,0.001826651,0.0
ARG,Argentina,1970,14.20596613,14.20596613,14.20596613,1.266133894,0.160471276,28.70870871,89769999.9,0.001826651,0.0
ARG,Argentina,1971,17.42097509,17.42097509,17.42097509,1.266133894,0.160471276,28.70870871,125670000.0,0.001826651,0.0
ARG,Argentina,1972,16.55486118,16.55486118,16.55486118,1.266133894,0.160471276,28.70870871,71719999.9,0.001826651,0.0
ARG,Argentina,1973,15.64826081,15.64826081,15.64826081,1.266133894,0.160471276,28.70870871,100250000.0,0.001826651,0.0
ARG,Argentina,1974,17.94668455,17.94668455,17.94668455,1.266133894,0.160471276,28.70870871,17920000.0,0.001826651,0.0
ARG,Argentina,1975,15.35900392,15.35900392,15.35900392,1.266133894,0.160471276,28.70870871,55590000.0,0.001826651,0.0
ARG,Argentina,1976,11.83322132,11.83322132,11.83322132,1.266133894,0.160471276,28.70870871,244680000.0,0.001826651,0.0
ARG,Argentina,1977,15.26919222,15.26919222,15.26919222,1.266133894,0.160471276,28.70870871,144000000.0,0.001826651,0.0
ARG,Argentina,1978,17.19843413,17.19843413,17.19843413,1.266133894,0.160471276,19.60565891,250000000.0,0.001826651,0.0
ARG,Argentina,1979,20.72313585,20.72313585,20.72313585,1.266133894,0.160471276,34.06360391,206000000.0,0.001826651,0.0
ARG,Argentina,1980,21.7295079,21.7295079,21.7295079,1.266133894,0.160471276,28.19287466,678000000.0,0.001826651,0.0
ARG,Argentina,1981,29.69776512,29.69776512,29.69776512,1.266133894,0.160471276,13.18192561,837000000.0,0.001826651,0.0
ARG,Argentina,1982,31.31811006,31.31811006,31.31811006,1.266133894,0.160471276,24.96659472,227000000.0,0.001826651,0.0
ARG,Argentina,1983,26.55886382,26.55886382,26.55886382,1.266133894,0.160471276,12.67411581,185000000.0,0.001826651,0.0
ARG,Argentina,1984,24.05061195,24.05061195,24.05061195,1.03612249,0.224181965,21.63662766,268000000.0,0.038551687,0.0
ARG,Argentina,1985,16.92858247,16.92858247,16.92858247,2.302540999,0.536561734,23.30302628,919000000.0,0.047897132,0.0
ARG,Argentina,1986,16.52155227,16.52155227,16.52155227,1.497855791,0.225224908,15.03648809,574000000.0,0.010544568,0.0
ARG,Argentina,1987,20.92345161,20.92345161,20.92345161,1.300685402,0.132056077,10.15280687,-19000000.0,0.044144914,0.0
ARG,Argentina,1988,20.03205975,20.03205975,20.03205975,2.011014118,3.366262763,167.3913043,1147000000.0,-0.01786612,0.0
ARG,Argentina,1989,39.43774199,39.43774199,39.43774199,4.17314926,0.516862545,12.38543155,1028000000.0,0.084041306,0.0
ARG,Argentina,1990,15.52769812,15.52769812,15.52769812,2.55764564,0.566505103,22.14947584,1836000000.0,0.024692133,0.0
ARG,Argentina,1991,12.465588,12.465588,12.465588,9.824847958,2.397580844,24.4032361,2439000000.0,0.026030834,0.0
ARG,Argentina,1992,15.25075202,15.25075202,15.25075202,8.140216861,6.879397011,84.51122531,4430977523.0,0.509624888,1213770549.0
ARG,Argentina,1993,18.01230621,18.01230621,18.01230621,18.60901869,21.02060045,112.9592097,2793085410.0,0.29782246,5671253303.0
ARG,Argentina,1994,19.95494523,19.95494523,19.95494523,14.32069608,43.82691112,306.0389723,3634931878.0,0.393429149,4220290632.0
ARG,Argentina,1995,19.67962315,19.67962315,19.67962315,14.64307396,12.36421487,84.43729029,5609423404.0,0.580218907,1552418680.0
ARG,Argentina,1996,19.87604288,19.87604288,19.87604288,16.42196989,11.50230709,70.04218843,6948536687.0,0.588186835,867340547.7
ARG,Argentina,1997,21.55693559,21.55693559,21.55693559,20.23221072,13.04608702,64.48176724,9160272052.0,1.247295798,2319279105.0
ARG,Argentina,1998,23.59099075,23.59099075,23.59099075,15.16409613,8.718719712,57.49580877,7290657132.0,0.777886139,-209635436.8
ARG,Argentina,1999,24.13610077,24.13610077,24.13610077,19.6977247,4.183854573,21.24029367,23987696390.0,0.610279589,-10772717669.0
ARG,Argentina,2000,23.16742232,23.16742232,23.16742232,16.12904122,3.217983577,19.95148709,10418314339.0,0.317035999,-3227185085.0
ARG,Argentina,2001,20.15603278,20.15603278,20.15603278,12.42441526,2.479374983,19.95566739,2166136830.0,0.059872956,31126954.25
ARG,Argentina,2002,15.11567375,15.11567375,15.11567375,16.95693922,1.195826971,7.052139279,2148910000.0,-0.641746114,-115880000.0
ARG,Argentina,2003,10.62118196,10.62118196,10.62118196,27.42805088,2.296088636,8.371315362,1652010000.0,0.606472572,65350000.0
ARG,Argentina,2004,9.501284953,9.501284953,9.501284953,24.65345574,2.764185112,11.21216085,4124710000.0,0.410542024,-86150000.0
ARG,Argentina,2005,10.41693074,10.41693074,10.41693074,23.94635989,2.645590648,11.04798667,5265250000.0,0.659695665,-48100000.0
ARG,Argentina,2006,11.53238851,11.53238851,11.53238851,22.03333915,1.456841205,6.611985567,5537347786.0,1.048653872,706655728.9
ARG,Argentina,2007,12.61221143,12.61221143,12.61221143,19.8483842,1.685038581,8.489550406,6473157762.0,0.523155949,1784935012.0
ARG,Argentina,2008,11.82276973,11.82276973,11.82276973,11.02184322,0.923115975,8.375332117,9725553130.0,0.384705758,-530621775.6
ARG,Argentina,2009,11.99928175,11.99928175,11.99928175,13.73818636,0.453659664,3.302180154,4017158925.0,0.213692689,-211917864.5
ARG,Argentina,2010,12.30231405,12.49600139,12.30231405,15.08632035,0.600714181,3.981846913,11332718626.0,0.227738015,-71016321.57
ARG,Argentina,2011,13.5403477,13.84210094,13.5403477,8.220149459,0.462939244,5.631761879,10839930945.0,0.280670981,-208195660.8
ARG,Argentina,2012,14.68922946,15.037769,14.68922946,6.273966253,0.267799853,4.268429926,15323933917.0,0.19320213,-134907718.3
ARG,Argentina,2013,15.18613341,15.56545554,15.18613341,9.619994839,0.405291324,4.213009787,9821661858.0,0.161219625,341877784.4
ARG,Argentina,2014,13.46689703,13.65694007,13.46689703,11.42690327,0.669273861,5.857001193,5065335542.0,0.364900179,217899597.3
ARG,Argentina,2015,14.08126111,14.23852546,14.08126111,9.438368633,0.453942538,4.809544483,11758994011.0,0.14716003,239111552.9
ARG,Argentina,2016,13.22518566,13.49652679,13.22518566,11.40761061,0.782151174,5.32936562,3260164342.0,0.320435402,985216669.0
ARG,Argentina,2017,15.72126916,15.72126916,15.72126916,16.89484975,1.024314303,5.359157688,11516861462.0,0.179549291,3013299974.0
ARG,Argentina,2018,15.37632656,15.37632656,15.37632656,8.762253617,0.870997854,9.9403,11716769819.0,0.328871218,-508346965.3
ARG,Argentina,2019,12.77894825,12.77894825,12.77894825,8.798018523,0.666286721,7.5732,6649187838.0,0.340080899,85599392.39
