REF_AREA,REF_AREA_LABEL,TIME_PERIOD,Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),"Foreign direct investment, net inflows (BoP, current US$)","Foreign direct investment, net outflows (% of GDP)",Market capitalization of listed domestic companies (% of GDP),Monetary Sector credit to private sector (% GDP),"Portfolio equity, net inflows (BoP, current US$)","Stocks traded, total value (% of GDP)","Stocks traded, turnover ratio of domestic shares (%)",Domestic credit to private sector (% of GDP)_Gap,Domestic credit to private sector by banks (% of GDP)_Gap,"Foreign direct investment, net inflows (BoP, current US$)_Gap","Foreign direct investment, net outflows (% of GDP)_Gap",Market capitalization of listed domestic companies (% of GDP)_Gap,Monetary Sector credit to private sector (% GDP)_Gap,"Portfolio equity, net inflows (BoP, current US$)_Gap","Stocks traded, total value (% of GDP)_Gap","Stocks traded, turnover ratio of domestic shares (%)_Gap",target_credit_gap2,Domestic credit to private sector (% of GDP)_Gap_Lag1,Domestic credit to private sector by banks (% of GDP)_Gap_Lag1,"Foreign direct investment, net inflows (BoP, current US$)_Gap_Lag1","Foreign direct investment, net outflows (% of GDP)_Gap_Lag1",Market capitalization of listed domestic companies (% of GDP)_Gap_Lag1,Monetary Sector credit to private sector (% GDP)_Gap_Lag1,"Portfolio equity, net inflows (BoP, current US$)_Gap_Lag1","Stocks traded, total value (% of GDP)_Gap_Lag1","Stocks traded, turnover ratio of domestic shares (%)_Gap_Lag1"
ARG,Argentina,1960,-1.1931429272389544,-1.1762243581137233,-0.3210228408043391,-0.6002248795220615,-1.1283320080604387,-1.18081219575462,-0.18249037911945745,-0.7041868891780927,-0.6602665874146723,0.1614686574520995,0.15174681923550395,-0.00259770532247534,0.009713667711347566,-0.016514065987410717,0.15749314428814326,-0.015812075343341062,-0.006628448523591923,-0.00348778465810383,0.18668764591358133,0.1694296499528088,0.15476036252503658,0.007561057711387528,0.017653586883046184,-0.004493770921035207,0.16089112022458008,-0.001604608932565876,0.002971804551337886,0.0012106056598106935
ARG,Argentina,1961,-1.1714769093075155,-1.1509629437459743,-0.3210228408043391,-0.6002248795220615,-1.1283320080604387,-1.155502704146674,-0.18249037911945745,-0.7041868891780927,-0.6602665874146723,0.33814899688889893,0.313205183927473,-0.002583826999141199,0.009619537080673994,-0.01674363294521263,0.32527235666698767,-0.015816983519112145,-0.006800691764136859,-0.0048468245764691185,-0.26209427673411767,0.1694296499528088,0.15476036252503658,0.007561057711387528,0.017653586883046184,-0.004493770921035207,0.16089112022458008,-0.001604608932565876,0.002971804551337886,0.0012106056598106935
ARG,Argentina,1962,-1.2053325473308996,-1.1904368010786686,-0.3210228408043391,-0.6002248795220615,-1.1283320080604387,-1.195051687681443,-0.18249037911945745,-0.7041868891780927,-0.6602665874146723,0.02307546290008647,0.025277766913363565,-0.002569840900617824,0.009527438386077357,-0.016969543662759327,0.026072176598442746,-0.015821555251646406,-0.0069686175396725955,-0.006178279683728217,-0.951559780607484,0.3480898909314049,0.31652886634474964,0.007575312060266744,0.01755785241845949,-0.004727843381847451,0.3290439952201346,-0.001610321749071439,0.00279633950889598,-0.00015821499437117912
ARG,Argentina,1963,-1.212303395078593,-1.1985644355155185,-0.3210228408043391,-0.6002248795220615,-1.1283320080604387,-1.2031947905408984,-0.18249037911945745,-0.7041868891780927,-0.6602665874146723,-0.06169759209341882,-0.052191180729757446,-0.0025556702597600827,0.009442376806018272,-0.017182189989962415,-0.05443002553167355,-0.01582506857271248,-0.007121868487775272,-0.00741338995848366,-1.7136341862794051,0.02948560429794445,0.028048380691943788,0.0075896771044447284,0.017464184510858637,-0.004958187844684491,0.029177463697083503,-0.0016156429662198962,0.0026252726894478123,-0.0014992523151324442
ARG,Argentina,1964,-1.2230014105510203,-1.2110377475296026,-0.3210228408043391,-0.6002248795220615,-1.1283320080604387,-1.215691841622361,-0.18249037911945745,-0.7041868891780927,-0.6602665874146723,-0.19193462183237917,-0.17120704194400976,-0.0025414091784521863,0.009373251748286984,-0.01736375275972484,-0.1781057346785834,-0.015826370271759125,-0.007242368090851017,-0.008428905617974353,-1.3016431925166998,-0.05623742794158316,-0.049569374056309984,0.007604231691030229,0.01737767361886117,-0.005175007588987857,-0.051504025622860224,-0.0016197322571319798,0.00246915518940529,-0.002743251429088623
ARG,Argentina,1965,-1.2332517398871574,-1.2229890815304074,-0.3210228408043391,-0.6002248795220615,-1.1283320080604387,-1.22766592126785,-0.18249037911945745,-0.7041868891780927,-0.6602665874146723,-0.3358871396357125,-0.30275668611161966,-0.0025274643340162614,0.009333707465803979,-0.017486075324668802,-0.31480594780916993,-0.015823840762704565,-0.007302788166654923,-0.00903473601532713,-1.9551419902233995,-0.18793390980068972,-0.168813848234995,0.007618879168500188,0.017307370781792356,-0.005360133726987427,-0.17545517407150524,-0.0016212473552347758,0.0023464016467929613,-0.003766075549683999
ARG,Argentina,1966,-1.2159980763264233,-1.2028722356038202,-0.3210228408043391,-0.6002248795220615,-1.1283320080604387,-1.2075107891859613,-0.18249037911945745,-0.7041868891780927,-0.6602665874146723,-0.25806443605978446,-0.23163860600504774,-0.00251469759002543,0.00934282430719728,-0.017508847929438222,-0.24090393951111513,-0.015815381066946018,-0.007265343872260287,-0.008963794482963522,0.0064049236216270344,-0.33349957716470907,-0.30061618102592275,0.00763320184083389,0.017267152728605146,-0.005484857006258323,-0.31245983349564005,-0.0016183031613526031,0.0022848514162484446,-0.0043762659860511486
ARG,Argentina,1967,-1.2191661524250887,-1.2065660423444127,-0.3210228408043391,-0.6002248795220615,-1.1283320080604387,-1.2112116259380694,-0.18249037911945745,-0.7041868891780927,-0.6602665874146723,-0.3815075594043377,-0.34444587739802884,-0.002504565444748173,0.009425514159627285,-0.017378384485049362,-0.3581280181740516,-0.015798438108450233,-0.007081189503300579,-0.007865940028626107,0.24169756494175587,-0.2548047828327415,-0.22936149295002603,0.0076463144927382655,0.017276424906250868,-0.00550807654834104,-0.23839323735974025,-0.0016084565927259862,0.002322996104448548,-0.004304813901806692
ARG,Argentina,1968,-1.164253432740038,-1.14254075766064,-0.3210228408043391,-0.6002248795220615,-1.1283320080604387,-1.147064489051344,-0.18249037911945745,-0.7041868891780927,-0.6602665874146723,-0.010981247050683507,-0.005842721834928801,-0.0024992466985882316,0.009612429280372826,-0.01702739484284303,-0.006268761787624298,-0.015770089310711086,-0.0066907929369133794,-0.0053086867507010985,0.6895050944241525,-0.3796312249495654,-0.34238545146739213,0.0076567211629245445,0.01736052366021111,-0.005375052615948766,-0.3558783868392193,-0.001588736024950476,0.0025105950724147097,-0.003199058410687478
ARG,Argentina,1969,-1.1448660389860796,-1.1199360968189822,-0.3210228408043391,-0.6002248795220615,-1.1283320080604387,-1.124416807272971,-0.18249037911945745,-0.7041868891780927,-0.6602665874146723,0.03346413417343411,0.03477360514121343,-0.002501743775537385,0.009939135398306887,-0.016376289428928388,0.03593746828545859,-0.015727212026334553,-0.006025777175429978,-0.0007881823827622171,3.195239324106554,-0.0049527493193194565,-0.003131886199486443,0.007662184017589219,0.01755062351272124,-0.005017174417546468,-0.00323550148832808,-0.0015557397576629161,0.002908293988631008,-0.0006234010973919985
ARG,Argentina,1970,-1.1201972977603836,-1.0911736682081938,-0.3210228408043391,-0.6002248795220615,-1.1283320080604387,-1.0955996383309867,-0.18249037911945745,-0.7041868891780927,-0.6602665874146723,0.11805271154609491,0.11207435257550857,-0.0025159359106370475,0.010444242562689124,-0.015336689140605117,0.11626448674757041,-0.01566676702501606,-0.005012824312039247,0.0062452191736504055,1.6382172550824574,0.03999069229505935,0.03756245910815925,0.007659619283712187,0.017882896175230825,-0.00435329034667473,0.03906472646534423,-0.001505833220219198,0.0035857488393644904,0.0039296364275079425
ARG,Argentina,1971,-1.0513869194940897,-1.01094445932971,-0.320664518454916,-0.6002248795220615,-1.1283320080604387,-1.0152177381229557,-0.18249037911945745,-0.7041868891780927,-0.6602665874146723,0.5913738894559837,0.5446153798557601,-0.001680384021694352,0.011166138081986547,-0.013817936400502552,0.5657398199119329,-0.015586227266384289,-0.003580325688402468,0.016341752805349993,0.049980715204283044,0.1255271796349094,0.11501169055831177,0.0076450426205100916,0.018396609549878516,-0.003293286763933874,0.11957064196413601,-0.0014354789343671373,0.00461764893950302,0.011013655954434608
ARG,Argentina,1972,-1.0699242319900395,-1.0325579710376058,-0.3212030000909428,-0.6002248795220615,-1.1283320080604387,-1.0368723844236638,-0.18249037911945745,-0.7041868891780927,-0.6602665874146723,0.2972605918689568,0.27584149423938026,-0.003034537383291183,0.012137935452229682,-0.011737491159462961,0.2864439029095335,-0.015484182350014341,-0.0016685114232872502,0.029981908171939454,1.650563519773634,0.6041524526857521,0.5483835691677597,0.00850323332877658,0.01913080500286696,-0.0017447268376926822,0.5700470057493694,-0.0013417355796209096,0.006076942384047937,0.021182852299554484
ARG,Argentina,1973,-1.0893280704154424,-1.0551818054837907,-0.3209182386247479,-0.6002248795220615,-1.1283320080604387,-1.0595392762975528,-0.18249037911945745,-0.7041868891780927,-0.6602665874146723,-0.002748414671398106,0.0016793519079442288,-0.0024350444003340545,0.013380255401819606,-0.009036118423942472,0.0015493018217545985,-0.01536114391301406,0.0007562246011961107,0.047475464369494944,-1.677139373059937,0.3067432854325716,0.2790934061903124,0.007112389925908117,0.020119160230716325,0.00037654942008417237,0.29012906625858265,-0.0012229615361195724,0.00802451704711267,0.034921173109509464
ARG,Argentina,1974,-1.0401352348951238,-0.9978255988224799,-0.3217399845563867,-0.6002248795220615,-1.1283320080604387,-1.002073909947703,-0.18249037911945745,-0.7041868891780927,-0.6602665874146723,0.299595744296973,0.2779727122869033,-0.00455670805664953,0.014891507917825514,-0.005698692708421507,0.2886614107341506,-0.015220566079187732,0.003682206596943481,0.0688250883768996,-6.027607760344601,0.003372341188816391,0.004404636403895557,0.007728125841837632,0.02138264730573441,0.003130939554573789,0.004599973801940639,-0.0010797523181745265,0.010494607647477297,0.05254062689796623
ARG,Argentina,1975,-1.0955189943800934,-1.0624000906382278,-0.3213639956186382,-0.6002248795220615,-1.1283320080604387,-1.066771299211251,-0.18249037911945745,-0.7041868891780927,-0.6602665874146723,-0.32898835623302536,-0.2964569342012383,-0.0038410484948705158,0.016635469046488816,-0.0017812117627599821,-0.30825472400371007,-0.015070075843406092,0.007028229509612046,0.09355139949386734,-3.526696975397929,0.30910460586494704,0.28122871801215027,0.0055489768745357135,0.022919649123738138,0.006533865905517251,0.292351512715135,-0.0009161283147045301,0.01347532000195789,0.0740438998375163
ARG,Argentina,1976,-1.1709808165427031,-1.150384526201208,-0.31947666489820115,-0.6002248795220615,-1.1283320080604387,-1.1549231857641309,-0.18249037911945745,-0.7041868891780927,-0.6602665874146723,-1.1507668063805414,-1.0474368438402897,0.00047816275771166904,0.018526168368063072,0.0025558291706474557,-1.0886321081267356,-0.014922878849944575,0.010614299198662842,0.12047947310087063,-2.6083242339340416,-0.3265234851495355,-0.29430432816576274,0.006284026838910743,0.024693324533303414,0.010528231705874727,-0.3058940193997915,-0.0007409668814151486,0.016883930119402864,0.09894816122179086
ARG,Argentina,1977,-1.097441221386807,-1.0646413041865197,-0.3204815644536171,-0.6002248795220615,-1.1283320080604387,-1.0690167782120044,-0.18249037911945745,-0.7041868891780927,-0.6602665874146723,-0.6783519053928828,-0.615728441870539,-0.002223108992612937,0.02041044938552738,0.0070082625474149115,-0.6400173937991582,-0.014799264294841147,0.014128172208234074,0.14749157754796974,-0.10046849191306606,-1.15751088534576,-1.0467267660663448,0.01072026474712317,0.026616238317585052,0.014950391818316004,-1.0880093891244798,-0.0005696385808334546,0.020537077077148184,0.126070030736067
ARG,Argentina,1978,-1.0561499319235619,-1.0164978762520251,-0.31942356531899163,-0.6002248795220615,-1.1283320080604387,-1.020781724246005,-0.18249037911945745,-0.7041868891780927,-0.7906286773732822,-0.5048694826651063,-0.45719850509056387,2.3174449528182428e-05,0.022049062531370605,0.011084878111831118,-0.47527498760035247,-0.014728076895830909,0.017089495070250607,-0.12175486682077462,-0.021003742955802096,-0.6798020450674327,-0.614189112125152,0.007945803522979715,0.02853262444022112,0.019490209077217022,-0.6383955608681056,-0.00042575879664092265,0.024116676919842907,0.153276535843424
ARG,Argentina,1979,-0.9807112436814435,-0.928540413599034,-0.31986273477110033,-0.6002248795220615,-1.1283320080604387,-0.932656861937654,-0.18249037911945745,-0.7041868891780927,-0.5835807134363349,-0.03114029088264149,-0.024291261347510938,-0.0014023123799642445,0.02309782235741676,0.01406289856309173,-0.025412196236630373,-0.014747953037897143,0.018814665574328242,0.35933199058957793,7.207205024236071,-0.5043755570445121,-0.4553546613213414,0.010252948780729925,0.030199156907490147,0.023646832687535403,-0.4732862553513774,-0.00034290101667924534,0.027133391189871726,-0.11790762080760037
ARG,Argentina,1980,-0.9591720062178173,-0.9034268184540556,-0.3151516442848436,-0.6002248795220615,-1.1283320080604387,-0.9074954708803638,-0.18249037911945745,-0.7041868891780927,-0.6676536946267864,-0.01612142388592919,-0.010574018816606601,0.00952951362056391,0.02309122140336657,0.014947213399655152,-0.011149977341401279,-0.0149080326472614,0.01838721953915357,0.17441142080304106,8.371490568390438,-0.02533769786762149,-0.021615862798053553,0.008788839168848532,0.03126578590708475,0.026683300052221418,-0.022421570455088843,-0.00036603563079225937,0.02889083092892804,0.36664152155374985
ARG,Argentina,1981,-0.7886285333214531,-0.7045822799614269,-0.31356464558290537,-0.6002248795220615,-1.1283320080604387,-0.7082724936946445,-0.18249037911945745,-0.7041868891780927,-0.882621066377319,1.349260738721548,1.2371627956154543,0.012765572354602319,0.021431942598536997,0.012440598714729982,1.2854444517198549,-0.015267760429962848,0.014640579107443185,-0.32358032760625305,3.465232147992829,-0.010150527606281,-0.007872271346536132,0.020016856988197478,0.031259072483438975,0.027584970536114778,-0.00812758804185938,-0.000552358508625561,0.028455389535313635,0.18039011577358757
ARG,Argentina,1982,-0.7539485216541527,-0.6641472471936009,-0.31965313116895755,-0.6002248795220615,-1.1283320080604387,-0.6677605054264476,-0.18249037911945745,-0.7041868891780927,-0.7138562976016639,1.569196832527241,1.4381423166478613,-0.0028688969043962403,0.017390925271401764,0.004934874047909315,1.4943002005260122,-0.015895285075764626,0.006162327206295431,0.013120679445503809,1.0603585658448793,1.3705322748884956,1.2422612724715822,0.023340594955531355,0.029571522247732275,0.025029160792297837,1.2913544983179706,-0.0009710596534853768,0.02463866836654816,-0.32118557867305975
ARG,Argentina,1983,-0.8558099901947683,-0.7829122538992427,-0.3200723383732431,-0.6002248795220615,-1.1283320080604387,-0.7867515443593925,-0.18249037911945745,-0.7041868891780927,-0.8898932606730663,0.6424349137922525,0.5912216687505195,-0.005441926734216773,0.01012395793763965,-0.009464031467979807,0.6142283980621956,-0.016863861980326834,-0.008668326048492523,-0.4587246372667935,-5.801211226731709,1.592932999521878,1.4436268472923224,0.0072825183425649555,0.025461652512126055,0.017376128057256596,1.5006753916703879,-0.0017014599735602307,0.016001831153305238,0.01793859752527539
ARG,Argentina,1984,-0.9094937472570935,-0.8455046341077498,-0.3192439050885835,-0.5777090655015652,-1.133421678347655,-0.8494630496831435,-0.18249037911945745,-0.7028831677560355,-0.7615437732249356,0.18816874293843114,0.17609125412819246,-0.0059653282411628265,0.04127749131528446,-0.050716585224743385,0.18284808376598471,-0.018245577998748517,-0.028052107548339644,-0.28581028697852984,-5.894612994073665,0.6557856731199646,0.5950793822801883,0.004639773683297094,0.0180708677921207,0.0026946282483190595,0.6186435732550193,-0.0028288242704723504,0.0008937712111001077,-0.45730249463606576
ARG,Argentina,1985,-1.061925528517976,-1.023231911978117,-0.3127461934221574,-0.5719794509258633,-1.1053984910432635,-1.0275285761132833,-0.18249037911945745,-0.6964908935073206,-0.7376797703269901,-1.1079517160395194,-1.008356167182087,0.0059544273580501095,0.03563134377070672,0.013027438316091603,-1.0479740351445102,-0.020101665676522027,-0.04342110750901613,-0.3884349313102627,-1.1718170182504473,0.1964289398700862,0.17915155970110044,0.004102190900111517,0.04975520706139795,-0.03936755206321773,0.1863025279197739,-0.004437057236076914,-0.018852583030696528,-0.2831437146910926
ARG,Argentina,1986,-1.07063713784046,-1.0333891810065836,-0.3161896811716459,-0.594879997142147,-1.1232044881481726,-1.037705176342122,-0.18249037911945745,-0.7028618258563885,-0.8560624243657569,-1.125607314224157,-1.0244792244150966,-0.0076788430065525635,-0.0304397318771163,-0.09700222108415055,-1.0647401471348907,-0.02246868608934882,-0.10479941384843203,-0.8499067656272712,-1.7219984513907605,-1.1142160038539592,-1.0075710208479378,0.016344905727788173,0.04401285828194396,0.0256275177636496,-1.0472607661764657,-0.00659742980949293,-0.03450905942917789,-0.38650692786169144
ARG,Argentina,1987,-0.9764239140379515,-0.9235416172813117,-0.32210848765120154,-0.5742799045633318,-1.127567455605265,-0.9276485519669047,-0.18249037911945745,-0.704768353673765,-0.9260001819874731,-0.23351933480944956,-0.2092279504296129,-0.029164412875917423,-0.022066615276049827,-0.17498481646050215,-0.21759541651038083,-0.02533996796636173,-0.16648941570829034,-1.236167433914318,17.259267658384843,-1.1320694528361364,-1.0237250482379678,0.0023422493936711484,-0.023183961781294986,-0.08656159422680902,-1.0640642181280344,-0.009352496847447192,-0.09703544416732496,-0.8512998817700053
ARG,Argentina,1988,-0.9955022468927673,-0.9457859296979465,-0.3104704971703215,-0.6122983535789479,-1.1118493699055592,-0.9499351995091782,-0.18249037911945745,-0.6385862952769578,1.3257659400572872,-0.33748787619638787,-0.3042005295092367,-0.010374362954475334,-0.13339045284385578,-0.19894214484369308,-0.31632603951961297,-0.028641937485996673,-0.055696668865625666,3.576286309073265,-5.366722837832832,-0.22998462616897458,-0.2069077896131104,-0.019725460185720273,-0.014668180797049398,-0.16607468345813753,-0.2150328037344857,-0.012694493398540119,-0.15987935467629674,-1.2403403900763188
ARG,Argentina,1989,-0.5801651974277783,-0.4615252158918975,-0.31165825091579724,-0.5498197585648141,-1.0640058508547228,-0.46475284614975226,-0.18249037911945745,-0.6968940009779753,-0.8940274227724272,3.4010559121766724,3.1122987255582943,-0.024782003369434032,-0.0643768581192163,-0.12634107804907152,3.2338705146443996,-0.03220540545722254,-0.2944094935555767,-1.6553634878305457,-8.007138373644711,-0.3351182517755071,-0.3020627978464764,-0.0004263041861448109,-0.12788879675412557,-0.19050220065327014,-0.3139833106162189,-0.016537784032866206,-0.04701423459669788,3.6067476105615532
ARG,Argentina,1990,-1.0919084564756112,-1.0581903971733648,-0.30359350279525604,-0.5862062427479272,-1.0997535600144148,-1.0625535939050508,-0.18249037911945745,-0.6958781578388388,-0.7541994257759884,-1.026109582910861,-0.9333545760917652,-0.018969668637034694,-0.19124864168857078,-0.36103138729453244,-0.9702550955075241,-0.03573254762434481,-0.38104869547780357,-1.5862621369559764,-4.936983199575966,3.4453201165732845,3.1209990784945085,-0.015224311701642465,-0.057699321841563005,-0.11647625839691662,3.2441199187279612,-0.020685442876503105,-0.2901921716996748,-1.6625533133304542
